ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,day_of_week,bike_type,costumer_type
9094E9E2F2268076,1/1/2021 2:47:00,1/1/2021 2:56:00,Wells St & Evergreen Ave,Sedgwick St & Huron St,0:08:18,6,docked_bike,casual
0F88D76F1536EE41,1/1/2021 2:48:00,1/1/2021 3:09:00,Kedzie Ave & Milwaukee Ave,Seeley Ave & Roscoe St,0:20:45,6,classic_bike,casual
16060CD93CDC3EE7,1/1/2021 2:49:00,1/1/2021 3:16:00,McClurg Ct & Erie St,Clifton Ave & Armitage Ave,0:27:04,6,classic_bike,member
73DEEC343261FDDB,1/1/2021 2:49:00,1/1/2021 3:16:00,McClurg Ct & Erie St,Clifton Ave & Armitage Ave,0:26:42,6,classic_bike,member
CC681997DA590BE8,1/1/2021 2:50:00,1/1/2021 3:02:00,Ada St & Washington Blvd,Larrabee St & Division St,0:12:10,6,electric_bike,casual
1CF44D59C53505DE,1/1/2021 2:51:00,1/1/2021 3:14:00,Wood St & Chicago Ave,Daley Center Plaza,0:23:17,6,electric_bike,casual
9C3071FDB3FE3207,1/1/2021 2:51:00,1/1/2021 3:14:00,Wood St & Chicago Ave,Daley Center Plaza,0:23:33,6,electric_bike,casual
5F9BAF646813811B,1/1/2021 2:52:00,1/1/2021 3:08:00,Winchester Ave & Elston Ave,Carpenter St & Huron St,0:15:52,6,classic_bike,member
6F1B77F77148E50A,1/1/2021 2:55:00,1/1/2021 3:10:00,Pine Grove Ave & Irving Park Rd,Clark St & Drummond Pl,0:14:27,6,electric_bike,casual
8CB3DEF1451E3172,1/1/2021 3:05:00,1/1/2021 11:46:00,Michigan Ave & Pearson St,Michigan Ave & Lake St,8:41:02,6,docked_bike,casual
A613878DCBEC9F4C,1/1/2021 3:08:00,1/1/2021 3:25:00,State St & 19th St,Wells St & Huron St,0:16:45,6,electric_bike,casual
4AE964A0D2D23712,1/1/2021 3:08:00,1/1/2021 3:14:00,Clark St & Chicago Ave,McClurg Ct & Erie St,0:05:15,6,classic_bike,member
73D62CC4704CD10E,1/1/2021 3:09:00,1/1/2021 3:17:00,Seeley Ave & Roscoe St,Clark St & Newport St,0:08:09,6,electric_bike,casual
23208F6076F1CF39,1/1/2021 3:18:00,1/1/2021 3:31:00,Clark St & Grace St,Halsted St & Dickens Ave,0:13:05,6,electric_bike,casual
