ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,bike_type,costumer_type,ride_duration,ride_month,day_of_week
D0C5B5CD220C4E45,10/6/2021 17:36:00,10/6/2021 17:53:00,Jefferson St & Monroe St,Cityfront Plaza Dr & Pioneer Ct,0:16:49,classic_bike,casual,17,10,Wednesday
B3C72C0B7C1C0E21,10/6/2021 17:36:00,10/6/2021 17:47:00,Lakeview Ave & Fullerton Pkwy,DuSable Lake Shore Dr & North Blvd,0:11:11,classic_bike,casual,11,10,Wednesday
81BD9CF45D7CDBB8,10/6/2021 17:36:00,10/6/2021 17:43:00,Elston Ave & Cortland St,Bissell St & Armitage Ave,0:06:53,classic_bike,casual,7,10,Wednesday
7BBFD4A65BE00DCF,10/6/2021 17:36:00,10/6/2021 17:39:00,Burling St & Diversey Pkwy,Halsted St & Wrightwood Ave,0:02:55,classic_bike,member,3,10,Wednesday
0D6ABBAA242E3B14,10/6/2021 17:37:00,10/6/2021 18:04:00,Stockton Dr & Wrightwood Ave,Halsted St & Polk St,0:27:02,electric_bike,member,27,10,Wednesday
8A9FACAA2225DBF9,10/6/2021 17:38:00,10/6/2021 17:42:00,Loomis St & Lexington St,May St & Taylor St,0:03:18,classic_bike,member,4,10,Wednesday
F56E6D6A4BBE2C15,10/6/2021 17:38:00,10/6/2021 17:58:00,Michigan Ave & 18th St,Michigan Ave & Madison St,0:20:00,classic_bike,member,20,10,Wednesday
2EA26907D6E119AA,10/6/2021 17:38:00,10/6/2021 17:51:00,Loomis St & Jackson Blvd,Clinton St & Tilden St,0:13:48,classic_bike,member,13,10,Wednesday
0098E32109F600AF,10/6/2021 17:38:00,10/6/2021 17:43:00,Broadway & Berwyn Ave,Broadway & Thorndale Ave,0:05:06,classic_bike,member,5,10,Wednesday
7F7063E70E3E73EC,10/6/2021 17:39:00,10/6/2021 17:58:00,New St & Illinois St,Larrabee St & Webster Ave,0:19:08,classic_bike,member,19,10,Wednesday
A0CBB3AB827F22AF,10/6/2021 17:39:00,10/6/2021 17:58:00,Orleans St & Hubbard St,Leavitt St & North Ave,0:19:20,classic_bike,member,19,10,Wednesday
949FD960DCF47AAB,10/6/2021 17:39:00,10/6/2021 17:44:00,Ellis Ave & 60th St,University Ave & 57th St,0:04:37,classic_bike,member,5,10,Wednesday
40A1D31ED48437A2,10/6/2021 17:39:00,10/6/2021 17:54:00,Wells St & Hubbard St,DuSable Lake Shore Dr & North Blvd,0:14:38,classic_bike,member,15,10,Wednesday
E2C1BE2F988EFCB2,10/6/2021 17:40:00,10/6/2021 17:51:00,Broadway & Waveland Ave,Marine Dr & Ainslie St,0:11:05,classic_bike,member,11,10,Wednesday
